book,book aspect,book level,memory,forge,knock,lantern,grail,moth,scale,winter,rose,sky,edge,nectar,heart,moon
"The Sun's Design",lantern,10,Numen: the Paths of the Sun,,5,,,5,5,,,,,,,
"The Sun Disfigured",grail,10,Numen: the Sun's Weakness,,,5,,,5,,5,,,,,
"Towards a Fundamental Aesthetic",knock,10,Numen: Inescapable Confinement,,,,,5,,,,,,5,,5
"Towards a Fundamental Aesthetic: Second Edition",winter,10,Numen: a Final Understanding,,,,,,,,,,5,,5,5
"The Writing on the Wall",nectar,10,Numen: an Irresistible Feast,5,,5,,,,,,5,,,,
"A Child's Treasury of Golden Afternoons",edge,10,Numen: Merciless Alteration,5,5,5,,,,,,,,,,
"Kopralith Omphalos",moth,10,Numen: Weaving the World,,,,5,,,5,,5,,,,
"The Turquoise Hand",rose,10,Numen: That Old Lost Music,,,,,,,,,,5,5,5,
"The Sky in the Scar",edge,10,Numen: Back Into Balance,,,,5,,,,,,,,5,5
"Shuritic Book of Suns",sky,10,Numen: the Great Counterfeit,,,,,,5,5,,5,,,,
"Amiranis Beteli",forge,10,Numen: the Bells of Ys,5,5,,,,,,,,5,,,
"Serpent-Root",nectar,10,Numen: Loopholes,,,,,5,,5,5,,,,,
"The Three and the Three (St Chiavi Manuscript)",moon,18,Numen: Three Rules,,,,5,,,,5,,,5,,
"The Locksmith's Dream: Stolen Reflections",sky,4,Memory: Revelation,,,,,,2,,,,,,,
"The Locksmith's Dream: Incursus",lantern,6,Confounding Parable,,,,,,,2,,,2,,2,
"The Fallen Cross",sky,6,Memory: Regret,,1,,,,,,,,,,,2
"Kitling Ripe and the Moldywarp's Grave (and Other Stories)",moth,6,Memory: Impulse,,,,,,,,2,1,,,,
"Rapt in the King",heart,8,Earth-Sign,,,,,,,,,2,,2,,
"The Viennese Conundra",moon,4,Memory: Fear,1,,,,,,,,,,2,,
"Collected Hush House Lectures",moon,4,Memory: Intuition,,,,,,,2,,,2,,,
"The Debate of Seven Cups",moth,10,Memory: Impulse,,,,,,,,2,1,,,,
"The Temptations of Architecture",forge,10,Secret Threshold,,,,,2,,,,,1,,,
"The Tripled Heart",grail,4,Memory: Intuition,,,,,,,2,,,2,,,
"The Five Letters On Memory",winter,6,Memory: Regret,,1,,,,,,,,,,,2
"The Twelve Letters On Consequence",moon,4,Memory: Regret,,1,,,,,,,,,,,2
"Gospel of Nicodemus",lantern,6,Memory: Revelation,,,,,,2,,,,,,,
"An Almanac of Entrances",knock,10,Secret Threshold,,,,,2,,,,,1,,,
"Just Verse",rose,6,Memory: Pattern,,1,,,2,,,,,,,,
"The Book of Cinders",forge,6,Memory: Foresight,,2,,,,1,,,,,,,
"Codex Acephali",moon,10,Memory: Regret,,1,,,,,,,,,,,2
"The History of Inks",rose,14,Memory: Intuition,,,,,,,2,,,2,,,
"In the Malleary",lantern,4,Memory: Foresight,,2,,,,1,,,,,,,
"The Kerisham Portolan",moon,6,Memory: Gossip,,,1,,,,,,,2,,,
"Nix Abolix",moon,16,Memory: Fear,1,,,,,,,,,,2,,
"OGHKOR OGHKOR TISSILAK OGHKOR",knock,12,Memory: Pattern,,1,,,2,,,,,,,,
"The Radical Measure",rose,10,Memory: Pattern,,1,,,2,,,,,,,,
"The Radical Measure (Glossed)",rose,12,Memory: Pattern,,1,,,2,,,,,,,,
"Book of Miah",rose,10,Memory: Intuition,,,,,,,2,,,2,,,
"The Intimations of Skin",grail,8,Beguiling Melody,,,2,,,,,,,,,2,
"The Berrybook",nectar,8,Memory: Satisfaction,,,2,1,,,,,,,,,
"Seven Shards",edge,10,Memory: Hindsight,,,,,,,,,,,1,,2
"The Crossing to Noon",moon,8,Memory: Salt,,,,,1,,1,,,,,,1
"What Does Not Bark",moon,4,Memory: Storm,,,,2,,,,,,,,2,
"Stolen Histories",scale,4,Memory: Fear,1,,,,,,,,,,2,,
"Black Nephrite",moon,6,Memory: Fear,1,,,,,,,,,,2,,
"The Sea Does Not Regret",moon,6,Memory: Salt,,,,,1,,1,,,,,,1
"Two Wombs, One Heart",heart,8,Memory: Satisfaction,,,2,1,,,,,,,,,
"One Hundred And Eight",scale,4,Confounding Parable,,,,,,,2,,,2,,2,
"The World Despoil'd",moon,6,Memory: Solace,,,,2,,,,,,,,1,
"An Impertinent Vitulation",grail,6,Memory: Satisfaction,,,2,1,,,,,,,,,
"Cardea's Delights",knock,8,Memory: Pattern,,1,,,2,,,,,,,,
"The Elations of Limentinus",knock,6,Memory: Pattern,,1,,,2,,,,,,,,
"The Raptures of Forculus",knock,4,Memory: Pattern,,1,,,2,,,,,,,,
"Snare of the Tree: Collected Proverbs of Aunt Mopsy",grail,8,Confounding Parable,,,,,,,2,,,2,,2,
"De Ratio Quercuum",nectar,8,Earth-Sign,,,,,,,,,2,,2,,
"Opus Magnum Caeruleum",lantern,14,Memory: Foresight,,2,,,,1,,,,,,,
"Sunrise Awakenings",lantern,4,Memory: Revelation,,,,,,2,,,,,,,
"De Horis book 1",nectar,4,Memory: Impulse,,,,,,,,2,1,,,,
"De Horis book 2",edge,4,Memory: Foresight,,2,,,,1,,,,,,,
"De Horis book 3",edge,4,Memory: Contradiction,2,,,,,,1,,,,,,
"Travelling at Night, vol 1",knock,4,Memory: Impulse,,,,,,,,2,1,,,,
"Travelling at Night, vol 2",sky,6,Memory: Solace,,,,2,,,,,,,,1,
"Travelling at Night, vol 3",knock,4,Memory: Pattern,,1,,,2,,,,,,,,
"The Locksmith's Dream: a Light through the Keyhole",lantern,4,Memory: Revelation,,,,,,2,,,,,,,
"The Locksmith's Dream: Portions and Proportions",sky,4,Confounding Parable,,,,,,,2,,,2,,2,
"The Locksmith's Dream: Trespasses",knock,6,Memory: Impulse,,,,,,,,2,1,,,,
"The Six Letters on Necessity",moth,4,Memory: Foresight,,2,,,,1,,,,,,,
"The Victory of Crowns",edge,4,Memory: Contradiction,2,,,,,,1,,,,,,
"An Introduction to Histories",winter,4,Memory: Hindsight,,,,,,,,,,,1,,2
"On the White",winter,6,Memory: Regret,,1,,,,,,,,,,,2
"The Humours of a Gentleman",sky,4,Memory: Gossip,,,1,,,,,,,2,,,
"The Queens of the Rivers",scale,4,Memory: Gossip,,,1,,,,,,,2,,,
"Apollo and Marsyas",heart,4,Memory: Storm,,,,2,,,,,,,,2,
"The Skeleton Songs",grail,4,Beguiling Melody,,,2,,,,,,,,,2,
"The Orchid Transfigurations: a Feast",grail,4,Memory: Intuition,,,,,,,2,,,2,,,
"The Orchid Transfigurations: Noon",heart,4,Memory: Solace,,,,2,,,,,,,,1,
"The Orchid Transfigurations: a Birth",grail,8,Memory: Satisfaction,,,2,1,,,,,,,,,
"De Bellis Murorum",edge,6,Memory: Contradiction,2,,,,,,1,,,,,,
"On What is Contained By Silver",sky,6,Memory: Pattern,,1,,,2,,,,,,,,
"A True and Complete Accounting of the Asclepian Mysteries of the Roots of the House",heart,4,Memory: Impulse,,,,,,,,2,1,,,,
"Wainscot Histories",lantern,6,Memory: Contradiction,2,,,,,,1,,,,,,
"Chione at Abydos",winter,6,Memory: Regret,,1,,,,,,,,,,,2
"The High Traditions of the Noble Endeavour",edge,6,Memory: Foresight,,2,,,,1,,,,,,,
"The Rose of Nuriel",grail,10,Memory: Satisfaction,,,2,1,,,,,,,,,
"The Rose of Hypatia",moth,8,Memory: Solace,,,,2,,,,,,,,1,
"The Rose of Waznei",lantern,8,Memory: Revelation,,,,,,2,,,,,,,
"The Treatise on Underplaces",knock,4,Memory: Fear,1,,,,,,,,,,2,,
"The War of the Roads, 1451-1551",edge,4,Memory: Foresight,,2,,,,1,,,,,,,
"Sunset Passages",forge,4,Memory: Revelation,,,,,,2,,,,,,,
"The Gospel of Zacchaeus",knock,8,Memory: A Stolen Secret,,,,,1,,2,,,,,,
"On Matthias and the Amethyst Imago: Loss",moth,6,Memory: A Stolen Secret,,,,,1,,2,,,,,,
"On Matthias and the Amethyst Imago: Transformation",forge,6,Memory: Impulse,,,,,,,,2,1,,,,
"On Matthias and the Amethyst Imago: Pursuit",grail,6,Memory: Gossip,,,1,,,,,,,2,,,
"Bancroft Diaries",lantern,4,Memory: Foresight,,2,,,,1,,,,,,,
"Those Indignities Perpetrated By the Deceitful Fraternity of Obliviates",winter,6,Memory: Contradiction,2,,,,,,1,,,,,,
"The Devoured Tantra",grail,6,Confounding Parable,,,,,,,2,,,2,,2,
"The Ceaseless Tantra",heart,6,Memory: Impulse,,,,,,,,2,1,,,,
"The Known-Unknown Tantra",lantern,6,Memory: Revelation,,,,,,2,,,,,,,
"The Encircling Tantra",scale,6,Memory: Fear,1,,,,,,,,,,2,,
"The Shaven Lock Tantra",moth,6,Memory: Impulse,,,,,,,,2,1,,,,
"The Tantra of Worms",scale,8,Memory: Fear,1,,,,,,,,,,2,,
"The Book of the Centipede",rose,6,Memory: Intuition,,,,,,,2,,,2,,,
"The Account of Kanishk at the Spider's Door",moon,6,Memory: A Stolen Secret,,,,,1,,2,,,,,,
"The Vinzant Inscriptions",forge,6,Memory: Foresight,,2,,,,1,,,,,,,
"The Larquebine Codex",moon,6,Memory: Salt,,,,,1,,1,,,,,,1
"Against the Sisterhood of the Knot and the Foulness of their Depraved Customs",sky,6,Memory: Intuition,,,,,,,2,,,2,,,
"The Morphy Codex",moon,6,Beguiling Melody,,,2,,,,,,,,,2,
"The Leonine Tantra",edge,8,Memory: Fear,1,,,,,,,,,,2,,
"The Incandescent Tantra",forge,8,Memory: Foresight,,2,,,,1,,,,,,,
"The Thirsting Tantra",grail,8,Memory: Satisfaction,,,2,1,,,,,,,,,
"The Flayed Tantra",heart,8,Memory: Storm,,,,2,,,,,,,,2,
"The Watchful Tantra",lantern,8,Memory: Revelation,,,,,,2,,,,,,,
"The Twin-Serpent Tantra",knock,8,Memory: Pattern,,1,,,2,,,,,,,,
"The Fire-Circle Tantra",moth,8,Memory: Intuition,,,,,,,2,,,2,,,
"As The Sun His Course",edge,8,Memory: Contradiction,2,,,,,,1,,,,,,
"The Concursum Diaries",rose,8,Memory: Intuition,,,,,,,2,,,2,,,
"The Iron Book",edge,8,Memory: Foresight,,2,,,,1,,,,,,,
"The Silver Book",moth,8,Memory: Impulse,,,,,,,,2,1,,,,
"The Ivory Book",winter,8,Memory: Regret,,1,,,,,,,,,,,2
"The Geminiad i",heart,10,Memory: Solace,,,,2,,,,,,,,1,
"The Geminiad ii",grail,10,Memory: Satisfaction,,,2,1,,,,,,,,,
"The Geminiad iii",moth,12,Beguiling Melody,,,2,,,,,,,,,2,
"The World Does Not Weep",winter,10,Memory: Hindsight,,,,,,,,,,,1,,2
"The Deeds of the Scarred Captain",edge,12,Memory: Fear,1,,,,,,,,,,2,,
"The Book of Dissolution",forge,12,Memory: Foresight,,2,,,,1,,,,,,,
"A Catalogue of Uncharted Pleasures",grail,12,Memory: Satisfaction,,,2,1,,,,,,,,,
"Those Who Do Not Sleep",heart,12,Memory: Storm,,,,2,,,,,,,,2,
"The Sky, the Soul",lantern,12,Memory: Foresight,,2,,,,1,,,,,,,
"On the Matter and the Deeds of Serpents",knock,12,Secret Threshold,,,,,2,,,,,1,,,
"The Serenity of the Black Wood",moth,12,Confounding Parable,,,,,,,2,,,2,,2,
"The Book of Thrones",edge,12,Memory: Contradiction,2,,,,,,1,,,,,,
"A Second Glory",winter,12,Memory: Hindsight,,,,,,,,,,,1,,2
"Book of True Blood",edge,14,Memory: Fear,1,,,,,,,,,,2,,
"The Burning Woman",forge,14,Memory: Foresight,,2,,,,1,,,,,,,
"Twenty-Six Enticements, Seven Torments",grail,14,Memory: Impulse,,,,,,,,2,1,,,,
"Isaac of Karth's History of the Shadowless Kings",rose,14,Confounding Parable,,,,,,,2,,,2,,2,
"The High Mysteries of the Innermost Chamber of our Church Solar",lantern,14,Memory: Revelation,,,,,,2,,,,,,,
"Medusa's Lament",scale,14,Memory: Fear,1,,,,,,,,,,2,,
"The Book of Masks",moth,14,Memory: Impulse,,,,,,,,2,1,,,,
"In The Mountains As Upon The Plain There May Not Be A Path Where None Has Passed",sky,18,Memory: Gossip,,,1,,,,,,,2,,,
"In Memory of Gods",winter,12,Memory: Hindsight,,,,,,,,,,,1,,2
"The Sevenfold Slaying of the Seven-Coiled",edge,16,Memory: Fear,1,,,,,,,,,,2,,
"My Deeds, My Powers, My Achievements and the Injustices Perpetrated Against Me",forge,16,Memory: Foresight,,2,,,,1,,,,,,,
"The Dream of the Conspiracy of the Lower Skies",grail,16,Memory: Gossip,,,1,,,,,,,2,,,
"The Book of the White Cat",sky,16,Memory: Revelation,,,,,,2,,,,,,,
"The Lion and the Glass",sky,12,Memory: Revelation,,,,,,2,,,,,,,
"Each Flame His Fuel",sky,14,Memory: Revelation,,,,,,2,,,,,,,
"The Focus of Amber",sky,16,Memory: Revelation,,,,,,2,,,,,,,
"The Songs of the Carapace Cross",moth,16,Memory: Pattern,,1,,,2,,,,,,,,
"The Origins of Hours",sky,16,Confounding Parable,,,,,,,2,,,2,,2,
"Where Has She Gone?",rose,16,Memory: Intuition,,,,,,,2,,,2,,,
"The Book of the Extinguished Heart",heart,16,Bittersweet Certainty,,,,,,1,,,,,,,2
"How the End will Begin",edge,14,Memory: Fear,1,,,,,,,,,,2,,
"The Manner in which the Alchemist was Spared",forge,14,Memory: Foresight,,2,,,,1,,,,,,,
"Five Creations",moth,14,Memory: Gossip,,,1,,,,,,,2,,,
"Commandments For the Preservation of All That Exists",heart,14,Memory: Satisfaction,,,2,1,,,,,,,,,
"The Time of Division",heart,14,Memory: Pattern,,1,,,2,,,,,,,,
"A Manual for Departure",knock,14,Secret Threshold,,,,,2,,,,,1,,,
"Inaam, Kapigiginlupir, Garkie, Cryppys",moth,14,Memory: Foresight,,2,,,,1,,,,,,,
"The Voyages of Ferninshun of Oreol",moon,18,Memory: Salt,,,,,1,,1,,,,,,1
"The Scar in the Sky",winter,14,Memory: Regret,,1,,,,,,,,,,,2
"A Seventh Voice",sky,8,Confounding Parable,,,,,,,2,,,2,,2,
"The Other Line",heart,4,Confounding Parable,,,,,,,2,,,2,,2,
"A Novel Method for Invocation & Contrition",rose,14,Confounding Parable,,,,,,,2,,,2,,2,
"Calicite Supplications",grail,8,Memory: Satisfaction,,,2,1,,,,,,,,,
"Ascite Supplications",scale,8,Memory: Impulse,,,,,,,,2,1,,,,
"Malachite Supplications",moon,8,Memory: Impulse,,,,,,,,2,1,,,,
"The Sun's Lament",edge,4,Memory: Fear,1,,,,,,,,,,2,,
"The Wind's Ruin",grail,4,Beguiling Melody,,,2,,,,,,,,,2,
"The Moon's Egg",moon,4,Confounding Parable,,,,,,,2,,,2,,2,
"The Black Book of Brittany",moon,12,Bittersweet Certainty,,,,,,1,,,,,,,2
"The White Book of Brittany",winter,10,Memory: Hindsight,,,,,,,,,,,1,,2
"The Red Book of Brittany",rose,12,Memory: Satisfaction,,,2,1,,,,,,,,,
"The Mirror of Melancthe",sky,12,Memory: Solace,,,,2,,,,,,,,1,
"A Descent of the Shell",forge,14,Memory: Foresight,,2,,,,1,,,,,,,
"Against Vitruvius",sky,6,Memory: Pattern,,1,,,2,,,,,,,,
"De motu corporum vetitorum",sky,10,Memory: Storm,,,,2,,,,,,,,2,
"The Instruments of the Heart",heart,10,Cheerful Ditty,,,,2,,,,,,,,1,
"Journal of Thomas Dewulf",sky,4,Memory: Salt,,,,,1,,1,,,,,,1
"Journal of Walter Dewulf",forge,6,Memory: Foresight,,2,,,,1,,,,,,,
"A Pale Lady and a Prince of Wines",moon,4,Memory: Salt,,,,,1,,1,,,,,,1
"A True History of Valentine Dewulf",sky,6,Memory: Fear,1,,,,,,,,,,2,,
"Annals of St Brandans",winter,4,Memory: Regret,,1,,,,,,,,,,,2
"The Most Sorrowful End of the Lady Nonna",nectar,4,Memory: Impulse,,,,,,,,2,1,,,,
"Three Flowers Hath the Tree",nectar,4,Memory: Gossip,,,1,,,,,,,2,,,
"The Shadow in the Stair",nectar,6,Memory: Impulse,,,,,,,,2,1,,,,
"Cucurbit Prisoner Records 1927",nectar,12,Memory: Impulse,,,,,,,,2,1,,,,
"Cucurbit Prisoner Records 1928",scale,12,Memory: Salt,,,,,1,,1,,,,,,1
"On the Winding Stair",knock,8,Memory: Pattern,,1,,,2,,,,,,,,
"Letters from a Fugitive",rose,6,Confounding Parable,,,,,,,2,,,2,,2,
"Perugian Diaries",sky,4,Cheerful Ditty,,,,2,,,,,,,,1,
"Key of Night",scale,6,Memory: Fear,1,,,,,,,,,,2,,
"On Resonance",sky,6,Memory: Foresight,,2,,,,1,,,,,,,
"Enchiridion Tragularis",moon,14,Memory: Intuition,,,,,,,2,,,2,,,
"The Republic of Teeth",scale,6,Memory: Intuition,,,,,,,2,,,2,,,
"Seven Faces of Icarus",sky,4,Memory: Fear,1,,,,,,,,,,2,,
"On Thirstlies, Ivories and Lovelies",grail,10,Memory: Impulse,,,,,,,,2,1,,,,
"By Their Marks Shall Ye Know them",knock,6,Memory: Pattern,,1,,,2,,,,,,,,
"Oblations in Iron",winter,6,Memory: Hindsight,,,,,,,,,,,1,,2
"Prophecies of Glory",lantern,8,Memory: Revelation,,,,,,2,,,,,,,
"A Shape in Smoke",forge,8,Memory: Revelation,,,,,,2,,,,,,,
"A Light in the Inkwell",lantern,8,Memory: Revelation,,,,,,2,,,,,,,
"It Is Written",scale,8,Confounding Parable,,,,,,,2,,,2,,2,
"Ettery After",winter,8,Memory: Hindsight,,,,,,,,,,,1,,2
"The Invisible Opera (Unfinished Recording)",sky,12,Cheerful Ditty,,,,2,,,,,,,,1,
"Opening the Sky",sky,10,Cheerful Ditty,,,,2,,,,,,,,1,
"Lake Fucino Recordings",heart,12,Beguiling Melody,,,2,,,,,,,,,2,
"Vinzant's Minglings",forge,4,Memory: Foresight,,2,,,,1,,,,,,,
"Honey: the Comprehensive Guide",nectar,6,Memory: Contradiction,2,,,,,,1,,,,,,
"Fekri's Herbary",nectar,6,Memory: Satisfaction,,,2,1,,,,,,,,,
"Kitling Ripe's Tasty Treats",nectar,4,Memory: Satisfaction,,,2,1,,,,,,,,,
"The Barrowchild's Elegies",winter,10,Memory: Regret,,1,,,,,,,,,,,2
"Damascene Traditions of the House of Lethe",sky,8,Memory: Impulse,,,,,,,,2,1,,,,
"Exorcism for Girls",edge,6,Memory: Fear,1,,,,,,,,,,2,,
"Singlefoot Songs",scale,6,Savage Hymn,,,,,,,,,,,2,2,
"An Exorcist's Field Manual",moon,6,Memory: Contradiction,2,,,,,,1,,,,,,
"Velletri Interviews",heart,6,Memory: A Stolen Secret,,,,,1,,2,,,,,,
"An Investigation of A Foundered Country",moon,4,Memory: A Stolen Secret,,,,,1,,2,,,,,,
"Recordings from the Althiban Abyss",scale,4,Memory: Fear,1,,,,,,,,,,2,,
"Eva's Treasury",sky,6,Memory: Foresight,,2,,,,1,,,,,,,
"Advice on Containment",knock,4,Memory: Pattern,,1,,,2,,,,,,,,
"The Admonitory Automata Project",forge,10,Memory: Foresight,,2,,,,1,,,,,,,
"Old Coppernose and the Softer Metal",forge,8,Memory: Foresight,,2,,,,1,,,,,,,
"Notes on Bindings",heart,10,Memory: Solace,,,,2,,,,,,,,1,
"Hunting Journals of Bryan Dewulf",scale,8,Memory: Fear,1,,,,,,,,,,2,,
"To a Pale Lady",moon,8,Memory: Salt,,,,,1,,1,,,,,,1
"The Bee-Keeper's Ends",nectar,8,Memory: Impulse,,,,,,,,2,1,,,,
"Warming Draughts to Uplift the Heart",heart,8,Memory: Impulse,,,,,,,,2,1,,,,
"A Journey to the Grove",grail,10,Memory: Satisfaction,,,2,1,,,,,,,,,
"The Hissing Key",scale,8,Memory: Hindsight,,,,,,,,,,,1,,2
"Musgrave's Sketches",winter,8,Bittersweet Certainty,,,,,,1,,,,,,,2
"Ambrosial!",forge,8,Memory: Impulse,,,,,,,,2,1,,,,
"Exercises in the Continuity of Self",winter,8,Memory: Hindsight,,,,,,,,,,,1,,2
"The Amalgam of the Red Rose",forge,8,Memory: Foresight,,2,,,,1,,,,,,,
"Lady Eva's Repose",winter,4,Memory: Regret,,1,,,,,,,,,,,2
"Operations of a Certain Finality",winter,8,Memory: Hindsight,,,,,,,,,,,1,,2
"The Alloy of the White Rose",lantern,10,Memory: Revelation,,,,,,2,,,,,,,
"Ud Rocashaas",scale,10,Memory: Impulse,,,,,,,,2,1,,,,
"Unhatched Hymns",lantern,10,Savage Hymn,,,,,,,,,,,2,2,
"An Echo of Silence",moth,10,Memory: Impulse,,,,,,,,2,1,,,,
"Observations on the Peacock Door",moon,10,Memory: Contradiction,2,,,,,,1,,,,,,
"The Ascendant",edge,10,Memory: Contradiction,2,,,,,,1,,,,,,
"The Three and the Three (Kerisham Manuscript)",moon,10,Memory: Intuition,,,,,,,2,,,2,,,
"The Three and the Three (Vatican Manuscript)",moon,14,Memory: Intuition,,,,,,,2,,,2,,,
"The Other Eye of the Serpent",sky,10,Memory: Pattern,,1,,,2,,,,,,,,
"On Imperfections",knock,10,Memory: Pattern,,1,,,2,,,,,,,,
"The Secret Colours",moon,14,Memory: Revelation,,,,,,2,,,,,,,
"Deaths and their Evasions",knock,14,Memory: A Stolen Secret,,,,,1,,2,,,,,,
"A Tower Falls",knock,16,Confounding Parable,,,,,,,2,,,2,,2,
"A Tower Rises",rose,18,Confounding Parable,,,,,,,2,,,2,,2,
"The Chandler's Wish",lantern,12,Memory: Foresight,,2,,,,1,,,,,,,
"Sunset Celia and the End of Days",sky,10,Memory: Foresight,,2,,,,1,,,,,,,
"The Carmine Petal: Revised",forge,12,Memory: Foresight,,2,,,,1,,,,,,,
"The Carmine Petal: Unexpurgated",forge,18,Memory: Foresight,,2,,,,1,,,,,,,
"Letters To My Successor",lantern,8,Memory: Revelation,,,,,,2,,,,,,,
"From History to Eternity",moth,10,Memory: Intuition,,,,,,,2,,,2,,,
"Nyn's Cages (Avignon Text)",heart,16,Memory: Hindsight,,,,,,,,,,,1,,2
"Nyn's Cages (Bruges Text, Illuminated)",winter,10,Memory: Hindsight,,,,,,,,,,,1,,2
"EXPERIMENT BEYOND SIGHT",moon,8,Memory: Revelation,,,,,,2,,,,,,,
"COLOURS IN THE LIVER",grail,6,Memory: Revelation,,,,,,2,,,,,,,
"THE OPEN HEAD",edge,8,Memory: Revelation,,,,,,2,,,,,,,
"The Deaths of the Moon",moon,8,Memory: Salt,,,,,1,,1,,,,,,1
"The Queen's Turn",moon,10,Memory: Salt,,,,,1,,1,,,,,,1
"Skin of Silver",forge,10,Memory: Fear,1,,,,,,,,,,2,,
"One Thousand Threads",grail,12,Memory: Fear,1,,,,,,,,,,2,,
"The Carbonek Schism",moth,6,Memory: Hindsight,,,,,,,,,,,1,,2
"The Wound-Wounds",edge,18,Memory: Regret,,1,,,,,,,,,,,2
"Glimmerings",forge,10,Bittersweet Certainty,,,,,,1,,,,,,,2
"The Wonderful Shape",grail,10,Memory: Satisfaction,,,2,1,,,,,,,,,
"The Grand Passage of the Hours",knock,12,Memory: Pattern,,1,,,2,,,,,,,,
"The Messenger Awaiting Her Destination",forge,16,Memory: Pattern,,1,,,2,,,,,,,,
"The Road to Janus",knock,18,Memory: Pattern,,1,,,2,,,,,,,,
"Green Jasper Tablet",nectar,10,Memory: Impulse,,,,,,,,2,1,,,,
"White Jade Tablet",moth,14,Memory: Impulse,,,,,,,,2,1,,,,
"Xenodicene Odes",knock,21,Confounding Parable,,,,,,,2,,,2,,2,
"Quirinic Meditations",lantern,21,Memory: Contradiction,2,,,,,,1,,,,,,
"Medusan Commentaries",grail,21,Memory: Fear,1,,,,,,,,,,2,,
"Echidnalia",scale,21,Memory: Impulse,,,,,,,,2,1,,,,
"Naenian Sketches",winter,21,Memory: Hindsight,,,,,,,,,,,1,,2
"Plantagenet Mysteries",moth,21,Memory: Foresight,,2,,,,1,,,,,,,
